SPONSORED BY GRASSROOTS ANALYTICS,,,,,,,,,,,,,,,,
Calculated by The Downballot,,,,Subscribe to our newsletter,,,,,,,Follow @the-downballot.com on Bluesky,,,,,
District,Incumbent,Party,,2024,,,,,,,2020,,,,,
,,,,Harris,Trump,Total,Harris %,Trump %,Margin,,Biden,Trump,Total,Biden %,Trump %,Margin
CT-02,Joe Courtney,(D),,"205,994","175,984","388,477",53.03%,45.30%,7.73%,,"214,158","169,366","391,348",54.72%,43.28%,11.45%
CT-03,Rosa DeLauro,(D),,"191,831","143,737","342,110",56.07%,42.01%,14.06%,,"213,122","142,174","359,820",59.23%,39.51%,19.72%
CT-04,Jim Himes,(D),,"206,080","127,034","338,387",60.90%,37.54%,23.36%,,"230,411","120,230","355,456",64.82%,33.82%,31.00%
CT-05,Jahana Hayes,(D),,"179,743","160,437","345,604",52.01%,46.42%,5.59%,,"195,160","156,762","357,217",54.63%,43.88%,10.75%
DE-AL,Sarah McBride,(D),,"289,758","214,351","511,697",56.63%,41.89%,14.74%,,"296,268","200,603","504,010",58.78%,39.80%,18.98%
FL-01,Jimmy Patronis,(R),,"130,210","287,054","421,568",30.89%,68.09%,-37.20%,,,,,,,
FL-02,Neal Dunn,(R),,"166,158","239,978","410,127",40.51%,58.51%,-18.00%,,,,,,,
FL-03,Kat Cammack,(R),,"155,748","240,137","399,639",38.97%,60.09%,-21.12%,,,,,,,
FL-04,Aaron Bean,(R),,"173,072","220,106","397,132",43.58%,55.42%,-11.84%,,,,,,,
FL-05,John Rutherford,(R),,"168,926","262,439","436,333",38.71%,60.15%,-21.43%,,,,,,,
FL-06,Randy Fine,(R),,"152,754","285,616","441,578",34.59%,64.68%,-30.09%,,,,,,,
FL-07,Cory Mills,(R),,"184,389","237,638","426,813",43.20%,55.68%,-12.48%,,,,,,,
FL-08,Mike Haridopolos,(R),,"177,979","247,784","430,519",41.34%,57.55%,-16.21%,,,,,,,
FL-09,Darren Soto,(D),,"152,204","218,731","374,281",40.67%,58.44%,-17.77%,,,,,,,
FL-10,Maxwell Frost,(D),,"183,316","111,658","298,720",61.37%,37.38%,23.99%,,,,,,,
FL-11,Daniel Webster,(R),,"187,154","257,599","449,051",41.68%,57.37%,-15.69%,,,,,,,
FL-12,Gus Bilirakis,(R),,"159,991","218,927","382,929",41.78%,57.17%,-15.39%,,,,,,,
FL-13,Anna Paulina Luna,(R),,"174,640","228,933","407,551",42.85%,56.17%,-13.32%,,,,,,,
FL-14,Kathy Castor,(D),,"171,479","212,233","387,748",44.22%,54.73%,-10.51%,,,,,,,
FL-15,Laurel Lee,(R),,"157,389","236,552","398,740",39.47%,59.32%,-19.85%,,,,,,,
FL-16,Vern Buchanan,(R),,"184,331","243,409","431,341",42.73%,56.43%,-13.70%,,,,,,,
FL-17,Greg Steube,(R),,"174,418","274,197","451,668",38.62%,60.71%,-22.09%,,,,,,,
FL-18,Scott Franklin,(R),,"152,345","215,207","370,821",41.08%,58.04%,-16.95%,,,,,,,
FL-19,Byron Donalds,(R),,"145,965","273,572","422,283",34.57%,64.78%,-30.22%,,,,,,,
FL-20,VACANT (Cherfilus-McCormick),(D),,"221,091","100,494","324,521",68.13%,30.97%,37.16%,,,,,,,
FL-21,Brian Mast,(R),,"186,001","259,006","448,209",41.50%,57.79%,-16.29%,,,,,,,
FL-22,Lois Frankel,(D),,"173,837","214,070","391,475",44.41%,54.68%,-10.28%,,,,,,,
FL-23,Jared Moskowitz,(D),,"190,174","143,874","337,102",56.41%,42.68%,13.73%,,,,,,,
FL-24,Frederica Wilson,(D),,"191,546","83,962","277,976",68.91%,30.20%,38.70%,,,,,,,
FL-25,Debbie Wasserman Schultz,(D),,"169,440","203,850","376,289",45.03%,54.17%,-9.14%,,,,,,,
FL-26,Mario Diaz-Balart,(R),,"131,758","191,736","326,115",40.40%,58.79%,-18.39%,,,,,,,
FL-27,Maria Elvira Salazar,(R),,"142,685","191,853","337,184",42.32%,56.90%,-14.58%,,,,,,,
FL-28,Carlos Gimenez,(R),,"124,039","209,509","335,833",36.93%,62.38%,-25.45%,,,,,,,
GA-01,Buddy Carter,(R),,"152,070","209,540","363,589",41.82%,57.63%,-15.81%,,"144,314","189,725","338,574",42.62%,56.04%,-13.41%
GA-02,Sanford Bishop,(D),,"169,577","145,474","316,317",53.61%,45.99%,7.62%,,"173,621","140,787","317,280",54.72%,44.37%,10.35%
GA-03,Brian Jack,(R),,"145,886","270,196","418,554",34.85%,64.55%,-29.70%,,"132,438","248,375","385,533",34.35%,64.42%,-30.07%
GA-04,Hank Johnson,(D),,"234,429","71,937","309,663",75.70%,23.23%,52.47%,,"248,593","65,346","317,482",78.30%,20.58%,57.72%
GA-05,Nikema Williams,(D),,"299,983","48,165","351,733",85.29%,13.69%,71.59%,,"298,038","45,300","347,583",85.75%,13.03%,72.71%
GA-06,Lucy McBath,(D),,"280,411","92,612","376,079",74.56%,24.63%,49.94%,,"272,649","90,780","367,715",74.15%,24.69%,49.46%
GA-07,Rich McCormick,(R),,"166,264","261,716","432,786",38.42%,60.47%,-22.06%,,"160,882","240,034","406,792",39.55%,59.01%,-19.46%
GA-08,Austin Scott,(R),,"119,340","225,184","345,955",34.50%,65.09%,-30.59%,,"117,889","209,159","330,441",35.68%,63.30%,-27.62%
GA-09,Andrew Clyde,(R),,"130,776","267,538","401,323",32.59%,66.66%,-34.08%,,"121,352","239,320","365,489",33.20%,65.48%,-32.28%
GA-10,Mike Collins,(R),,"162,887","249,036","414,479",39.30%,60.08%,-20.78%,,"146,057","226,098","376,859",38.76%,60.00%,-21.24%
GA-11,Barry Loudermilk,(R),,"159,023","257,070","420,016",37.86%,61.20%,-23.34%,,"149,016","234,589","390,136",38.20%,60.13%,-21.93%
GA-12,Rick Allen,(R),,"149,015","198,465","349,195",42.67%,56.84%,-14.16%,,"151,146","185,743","340,948",44.33%,54.48%,-10.15%
GA-13,VACANT (Scott),(D),,"257,537","103,350","364,212",70.71%,28.38%,42.33%,,"248,807","104,096","356,696",69.75%,29.18%,40.57%
GA-14,Clay Fuller,(R),,"120,819","262,833","386,145",31.29%,68.07%,-36.78%,,"108,830","242,501","356,187",30.55%,68.08%,-37.53%
HI-01,Ed Case,(D),,"153,039","91,498","248,840",61.50%,36.77%,24.73%,,"178,660","96,350","279,670",63.88%,34.45%,29.43%
HI-02,Jill Tokuda,(D),,"160,005","102,163","267,861",59.73%,38.14%,21.59%,,"187,470","100,514","294,799",63.59%,34.10%,29.50%
IA-01,Mariannette Miller-Meeks,(R),,"190,502","226,309","422,996",45.04%,53.50%,-8.47%,,"203,400","215,742","426,927",47.64%,50.53%,-2.89%
IA-02,Ashley Hinson,(R),,"186,017","227,941","419,694",44.32%,54.31%,-9.99%,,"203,246","222,312","433,378",46.90%,51.30%,-4.40%
IA-03,Zach Nunn,(R),,"199,043","217,645","422,161",47.15%,51.55%,-4.41%,,"205,591","207,043","420,101",48.94%,49.28%,-0.35%
IA-04,Randy Feenstra,(R),,"131,716","255,124","391,998",33.60%,65.08%,-31.48%,,"146,824","252,575","406,128",36.15%,62.19%,-26.04%
ID-01,Russ Fulcher,(R),,"126,556","343,893","482,249",26.24%,71.31%,-45.07%,,"132,085","302,868","447,457",29.52%,67.69%,-38.17%
ID-02,Mike Simpson,(R),,"148,416","261,353","422,563",35.12%,61.85%,-26.73%,,"154,936","251,251","419,904",36.90%,59.84%,-22.94%
IL-01,Jonathan Jackson,(D),,"214,180","109,215","327,524",65.39%,33.35%,32.05%,,"260,631","103,984","369,753",70.49%,28.12%,42.37%
IL-02,Robin Kelly,(D),,"196,188","97,557","297,831",65.87%,32.76%,33.12%,,"231,924","98,000","334,668",69.30%,29.28%,40.02%
IL-03,Delia Ramirez,(D),,"172,024","88,947","264,637",65.00%,33.61%,31.39%,,"207,342","84,147","297,395",69.72%,28.29%,41.42%
IL-04,Chuy Garcia,(D),,"133,997","74,150","211,284",63.42%,35.09%,28.33%,,"175,301","62,731","242,543",72.28%,25.86%,46.41%
IL-05,Mike Quigley,(D),,"254,128","115,335","373,934",67.96%,30.84%,37.12%,,"275,679","117,237","400,256",68.88%,29.29%,39.59%
IL-06,Sean Casten,(D),,"190,484","170,365","366,334",52.00%,46.51%,5.49%,,"216,368","173,185","396,914",54.51%,43.63%,10.88%
IL-07,Danny Davis,(D),,"227,588","46,357","277,166",82.11%,16.73%,65.39%,,"274,896","41,082","321,060",85.62%,12.80%,72.83%
IL-08,Raja Krishnamoorthi,(D),,"162,610","141,333","307,970",52.80%,45.89%,6.91%,,"189,430","138,017","333,628",56.78%,41.37%,15.41%
IL-09,Jan Schakowsky,(D),,"234,534","107,886","346,306",67.72%,31.15%,36.57%,,"267,524","108,596","382,482",69.94%,28.39%,41.55%
IL-10,Brad Schneider,(D),,"198,884","126,235","329,534",60.35%,38.31%,22.05%,,"220,357","128,416","355,522",61.98%,36.12%,25.86%
IL-11,Bill Foster,(D),,"198,860","157,499","361,856",54.96%,43.53%,11.43%,,"215,328","157,129","380,478",56.59%,41.30%,15.30%
IL-12,Mike Bost,(R),,"102,645","264,477","372,700",27.54%,70.96%,-43.42%,,"106,204","270,198","383,257",27.71%,70.50%,-42.79%
IL-13,Nikki Budzinski,(D),,"180,464","145,725","331,866",54.38%,43.91%,10.47%,,"195,393","155,142","358,904",54.44%,43.23%,11.21%
IL-14,Lauren Underwood,(D),,"173,949","156,554","335,428",51.86%,46.67%,5.19%,,"191,028","151,016","348,998",54.74%,43.27%,11.46%
IL-15,Mary Miller,(R),,"111,678","263,292","381,405",29.28%,69.03%,-39.75%,,"117,057","270,236","395,434",29.60%,68.34%,-38.74%
IL-16,Darin LaHood,(R),,"147,743","236,254","390,305",37.85%,60.53%,-22.68%,,"152,633","238,789","400,519",38.11%,59.62%,-21.51%
IL-17,Eric Sorensen,(D),,"162,905","147,899","316,290",51.50%,46.76%,4.74%,,"174,821","148,985","331,627",52.72%,44.93%,7.79%
IN-01,Frank Mrvan,(D),,"161,625","160,330","327,083",49.41%,49.02%,0.40%,,"181,832","153,364","340,700",53.37%,45.01%,8.36%
IN-02,Rudy Yakym,(R),,"107,778","187,182","299,603",35.97%,62.48%,-26.50%,,"117,687","187,968","311,424",37.79%,60.36%,-22.57%
IN-03,Marlin Stutzman,(R),,"107,772","207,946","321,172",33.56%,64.75%,-31.19%,,"111,650","209,890","328,584",33.98%,63.88%,-29.90%
IN-04,Jim Baird,(R),,"114,999","213,001","333,994",34.43%,63.77%,-29.34%,,"118,417","219,029","345,309",34.29%,63.43%,-29.14%
IN-05,Victoria Spartz,(R),,"150,105","212,150","369,170",40.66%,57.47%,-16.81%,,"151,397","210,212","369,022",41.03%,56.96%,-15.94%
IN-06,Jefferson Shreve,(R),,"107,012","212,902","325,612",32.86%,65.39%,-32.52%,,"109,391","215,307","331,748",32.97%,64.90%,-31.93%
IN-07,Andre Carson,(D),,"189,586","77,134","271,247",69.89%,28.44%,41.46%,,"213,498","84,813","303,734",70.29%,27.92%,42.37%
IN-08,Mark Messmer,(R),,"103,784","223,051","332,397",31.22%,67.10%,-35.88%,,"112,346","225,275","343,948",32.66%,65.50%,-32.83%
IN-09,Erin Houchin,(R),,"121,011","226,651","353,491",34.23%,64.12%,-29.88%,,"126,197","223,661","356,696",35.38%,62.70%,-27.32%
KS-01,Tracey Mann,(R),,"103,889","200,988","310,550",33.45%,64.72%,-31.27%,,"110,422","206,364","323,819",34.10%,63.73%,-29.63%
KS-02,Derek Schmidt,(R),,"120,738","181,316","307,903",39.21%,58.89%,-19.67%,,"130,954","183,352","321,754",40.70%,56.99%,-16.29%
KS-03,Sharice Davids,(D),,"203,405","187,105","397,590",51.16%,47.06%,4.10%,,"205,621","187,731","401,921",51.16%,46.71%,4.45%
KS-04,Ron Estes,(R),,"116,821","189,393","311,548",37.50%,60.79%,-23.29%,,"123,326","193,958","324,810",37.97%,59.71%,-21.75%
KY-01,James Comer,(R),,"88,125","250,232","342,750",25.71%,73.01%,-47.30%,,"98,100","248,460","351,824",27.88%,70.62%,-42.74%
KY-02,Brett Guthrie,(R),,"100,536","245,734","351,285",28.62%,69.95%,-41.33%,,"108,502","237,998","352,498",30.78%,67.52%,-36.74%
KY-03,Morgan McGarvey,(D),,"194,712","131,797","332,190",58.61%,39.68%,18.94%,,"220,429","138,649","365,965",60.23%,37.89%,22.35%
KY-04,Thomas Massie,(R),,"117,644","250,916","374,804",31.39%,66.95%,-35.56%,,"122,980","244,777","374,537",32.84%,65.35%,-32.52%
KY-05,Hal Rogers,(R),,"55,275","257,630","316,756",17.45%,81.33%,-63.88%,,"64,435","258,817","327,397",19.68%,79.05%,-59.37%
KY-06,Andy Barr,(R),,"147,751","201,185","355,524",41.56%,56.59%,-15.03%,,"158,028","197,944","363,215",43.51%,54.50%,-10.99%
LA-01,Steve Scalise,(R),,"108,441","246,801","361,900",29.96%,68.20%,-38.23%,,,,,,,
LA-02,Troy Carter,(D),,"222,904","77,618","306,729",72.67%,25.30%,47.37%,,,,,,,
LA-03,Clay Higgins,(R),,"105,523","226,788","336,856",31.33%,67.33%,-36.00%,,,,,,,
LA-04,Mike Johnson,(R),,"103,444","213,190","320,591",32.27%,66.50%,-34.23%,,,,,,,
LA-05,Julia Letlow,(R),,"103,796","212,946","320,662",32.37%,66.41%,-34.04%,,,,,,,
LA-06,Cleo Fields,(D),,"122,761","231,162","360,237",34.08%,64.17%,-30.09%,,,,,,,
MA-01,Richard Neal,(D),,"211,784","160,045","379,806",55.76%,42.14%,13.62%,,"235,190","150,037","393,141",59.82%,38.16%,21.66%
